"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"NEUROD6",7.50714062620887e-55,5.59279750609849,0.861,0.089,1.38521758834806e-50
"CD24",1.71843533884018e-60,5.43796839444185,0.983,0.185,3.1708568872279e-56
"DCX",7.52431473146766e-52,5.14055008894713,1,0.569,1.38838655425041e-47
"SATB2",6.82568153859097e-48,5.0111730200071,0.913,0.21,1.25947475750081e-43
"ADRA2A",4.4945857296628e-32,4.86882673174798,0.635,0.089,8.29340958837379e-28
"DRAXIN",1.29278131564217e-22,4.7591949183982,0.496,0.078,2.38544008362294e-18
"SCUBE1",2.17927281824994e-24,4.62750963831971,0.504,0.075,4.02119420423479e-20
"AC108025.2",2.13997871289134e-22,4.2823911400846,0.365,0.018,3.9486887210271e-18
"TBR1",3.10620626439768e-23,4.2470616430133,0.591,0.132,5.7315717990666e-19
"ST8SIA2",7.46547908304073e-30,4.23618600682247,0.548,0.057,1.37753020040268e-25
"BCL11A",5.98658550056298e-47,4.225304944103,0.965,0.342,1.10464475656388e-42
"NKAIN1",1.44518199563001e-26,4.1500838019586,0.548,0.078,2.66664981833649e-22
"SATB2.AS1",2.97757582529013e-26,4.1061067176945,0.539,0.078,5.49422291282534e-22
"CUX2",1.61086181847273e-16,4.09680040777837,0.443,0.096,2.97236222744588e-12
"SOX4",3.46970833244918e-50,4.08815352552029,1,0.751,6.40230581503523e-46
"SEMA3A",2.33217175495434e-24,4.04140755004982,0.678,0.189,4.30332332224174e-20
"BHLHE22",6.3580981106213e-20,4.01573763260777,0.391,0.039,1.17319626337184e-15
"EPHA3",2.33204916457766e-27,4.00945381201347,0.696,0.167,4.30309711847869e-23
"MEX3A",4.34042434420493e-47,3.98873116633062,0.861,0.128,8.00895099992694e-43
"SOX11",5.41295246247079e-50,3.9822422784117,1,0.537,9.9879798837511e-46
